TMP_ID,TEMP_MAX,TEMP_MIN,TEMP_PROMEDIO,SENS_TERM_MAX,SENS_TERM_MIN,SENS_TERM_PROMEDIO,PUNTO_ROCIO,HUMEDAD,PRECIPITACION,PROB_PRECIPITACION,COBERTURA_PRECIPITACION,TIPO_PRECIPITACION,NIEVE,PROFUNDIDAD_NIEVE,RAFAGA_VIENTO,VELOCIDAD_VIENTO,DIRECCION_VIENTO,PRESION,COBERTURA_NUBOSA,VISIBILIDAD,RADIACION_SOLAR,ENERGIA_SOLAR,INDICE_UV,AMANECER,OCASO,FASE_LUNAR,CONDICIONES,DESCRIPCION,ICONO,ESTACIONES,RIESGO_SEVERO,PAIS_ID,ESTADO_ID,ID_REFERENCIA
20230101,29.3,22.9,25.4,32.5,22.9,26.3,22.4,83.8,10.544,100,37.5,rain,0,0,31.7,22.5,83.3,1016.4,48.2,14.5,171.6,14.7,7,06:56:44,17:59:18,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230102,28.8,23.4,26.0,31.9,23.4,27.0,22.0,79.4,0.33,100,12.5,rain,0,0,31.7,24.1,75.7,1016.9,49.7,15.9,180.3,15.5,8,06:57:04,17:59:55,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230103,28.8,23.8,25.7,31.2,23.8,26.4,21.3,77.2,5.346,100,58.33,rain,0,0,45.4,34.3,67.4,1017.0,65.0,16.0,150.2,12.9,8,06:57:23,18:00:31,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230104,26.1,22.8,24.1,26.1,22.8,24.1,22.1,88.8,29.036,100,66.67,rain,0,0,41.0,30.4,117.0,1017.4,72.3,15.4,76.1,6.5,5,06:57:41,18:01:08,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630",30,8,51,1
20230105,28.4,23.4,25.5,31.7,23.4,26.4,22.3,82.7,4.04,100,20.83,rain,0,0,44.6,33.3,92.2,1017.9,52.8,16.0,137.8,11.9,6,06:57:58,18:01:46,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630",30,8,51,1
20230106,28.9,23.0,25.5,30.9,23.0,26.4,21.7,80.0,7.651,100,29.17,rain,0,0,36.9,31.4,93.2,1017.4,44.8,15.8,178.5,15.4,8,06:58:14,18:02:23,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630",30,8,51,1
20230107,27.9,23.4,24.7,31.2,23.4,24.9,22.7,88.7,10.154,100,45.83,rain,0,0,31.7,24.0,89.2,1016.9,75.4,15.5,98.7,8.7,6,06:58:28,18:03:01,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",30,8,51,1
20230108,28.8,22.9,25.0,32.4,22.9,25.7,22.2,85.0,3.863,100,25.0,rain,0,0,37.1,27.6,98.7,1017.1,54.5,15.9,156.7,13.3,8,06:58:42,18:03:39,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230109,28.3,22.9,25.6,31.2,22.9,26.4,21.7,79.7,0.32,100,12.5,rain,0,0,40.0,34.3,95.0,1016.3,41.1,15.9,154.4,13.3,5,06:58:54,18:04:17,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230110,28.7,23.3,25.7,32.2,23.3,26.5,21.8,79.5,0.37,100,16.67,rain,0,0,24.3,18.4,138.7,1014.9,34.8,15.8,170.3,14.6,8,06:59:05,18:04:56,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230111,28.4,23.3,25.5,31.2,23.3,26.5,21.9,80.6,6.624,100,12.5,rain,0,0,20.7,14.7,97.7,1015.9,37.4,15.8,177.0,15.3,8,06:59:15,18:05:34,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230112,28.8,23.3,25.3,32.3,23.3,26.1,22.2,83.4,0.803,100,8.33,rain,0,0,31.7,25.4,86.0,1016.6,42.9,15.9,180.5,15.6,8,06:59:24,18:06:12,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230113,29.3,22.9,25.8,32.2,22.9,26.6,21.3,76.9,1.48,100,12.5,rain,0,0,35.3,27.2,112.8,1014.9,35.1,16.0,139.2,11.9,7,06:59:31,18:06:50,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230114,30.6,22.2,26.4,32.1,22.2,27.1,20.3,70.8,0.576,100,8.33,rain,0,0,24.1,18.1,134.5,1013.9,27.5,16.0,209.8,18.0,8,06:59:37,18:07:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230115,29.3,21.2,25.1,31.8,21.2,25.8,21.5,81.1,18.083,100,29.17,rain,0,0,31.7,25.5,265.7,1014.5,59.2,15.0,117.2,10.0,7,06:59:42,18:08:07,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230116,25.7,21.7,24.0,25.7,21.7,24.0,19.1,75.1,12.083,100,33.33,rain,0,0,24.1,14.8,330.2,1015.9,93.8,12.5,87.9,7.5,4,06:59:46,18:08:45,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230117,27.9,24.9,26.0,29.0,24.9,26.4,18.1,61.9,0.0,0,0.0,,0,0,29.9,22.1,42.6,1015.3,67.0,16.0,142.8,12.3,6,06:59:48,18:09:23,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230118,27.9,22.1,25.6,28.3,22.1,25.8,17.7,62.3,0.129,100,4.17,rain,0,0,21.2,16.2,47.8,1016.8,43.6,16.0,201.5,17.3,8,06:59:50,18:10:01,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
20230119,28.4,22.8,25.6,31.2,22.8,26.5,21.5,78.7,0.48,100,4.17,rain,0,0,31.7,22.3,73.5,1017.5,56.9,16.0,200.8,17.4,7,06:59:50,18:10:38,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630",10,8,51,1
